period,start_equity,end_equity,return_pct
2023-02,10000,9329.437351750003,-6.705626482499971
2023-03,9329.437351750003,9323.170587400004,-0.06717194310569274
2023-04,9342.816821350005,8326.324247650004,-10.879936887739616
2023-05,8326.324247650004,8252.974164250007,-0.8809419525152351
2023-06,8252.974164250007,8163.161041230008,-1.0882515955162986
2023-07,8031.9458712300075,10306.342151230008,28.316877584381682
2023-08,10306.342151230008,10306.342151230008,0
2023-09,10306.342151230008,10306.342151230008,0
2023-10,10306.342151230008,12083.979413430014,17.247993867425148
2023-11,12303.489900430013,17526.07193748002,42.447972724125016
2023-12,17848.193784120016,41522.90289940002,132.64484575657164
2024-01,40692.04457460001,38038.653959000025,-6.520661823063656
2024-02,38038.653959000025,45598.48137080003,19.874066574354508
2024-03,46210.68174330003,50924.527176840056,10.200770158997873
2024-04,49645.21127304005,45331.94460924005,-8.68818271328886
2024-05,45331.94460924005,43026.71367152006,-5.085224023789414
2024-06,43026.71367152006,43026.71367152006,0
2024-07,43026.71367152006,43499.06145392006,1.0978012078869392
2024-08,43255.56055472006,39024.32859405007,-9.781937643178395
2024-09,39024.32859405007,46271.47039535008,18.570830203610367
2024-10,46135.03353755007,43197.08620045009,-6.368148263528928
2024-11,43044.17249859009,57296.07071505009,33.109936581837694
2024-12,57658.12050742009,61183.34216997009,6.114007240482855
2025-01,61183.34216997009,58332.3778654701,-4.659706716543665
2025-02,58332.3778654701,58332.3778654701,0
2025-03,58332.3778654701,58332.3778654701,0
2025-04,58332.3778654701,59037.12013167011,1.2081493880214067
2025-05,60677.51414167011,72062.17248111013,18.76256550797233
2025-06,72062.17248111013,66661.71040054015,-7.494170512255405
2025-07,66661.71040054015,82788.61370801016,24.192153502468994
2025-08,80217.90352457015,85019.31131491016,5.985456586844573
2025-09,85019.31131491016,91746.85216991015,7.912956187190567
2025-10,91746.85216991015,54321.82643490017,-40.7916182951987
2025-11,54321.82643490017,54321.82643490017,0
2025-12,54321.82643490017,54321.82643490017,0
