trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-03-18T12:00:00.000Z,2023-03-23T00:00:00.000Z,22.48,21.41,444.83,-475.96810000000005,58.5707661,-534.5388661000001,9,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0002,trend,trend,SOL,2023-12-07T12:00:00.000Z,2023-12-13T00:00:00.000Z,64.18,68.6,147.48,651.8615999999984,58.747183199999995,593.1144167999984,11,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0003,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-26T00:00:00.000Z,177.72,168.35,56.59,-530.2483000000011,58.7523039,-589.0006039000011,11,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0004,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-07-26T00:00:00.000Z,169.12,171.86,55.99,153.41260000000148,57.27441060000001,96.13818940000147,12,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0005,trend,trend,SOL,2025-10-03T00:00:00.000Z,2025-10-03T12:00:00.000Z,234.74,230.79,40.75,-160.96250000000146,56.9110425,-217.87354250000146,1,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0006,trend,trend,SOL,2026-03-17T00:00:00.000Z,2026-03-19T12:00:00.000Z,96.19,89.62,97.18,-638.4725999999991,54.171047400000006,-692.6436473999992,5,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
retq22-0007,trend,trend,SOL,2026-04-08T00:00:00.000Z,2026-04-08T12:00:00.000Z,85.56,84.46,101.15,-111.26500000000124,51.592569,-162.85756900000123,1,trend-close>sma40|mom20-ok|sol-ok|structure-break|volume-ok|accel-ok|eff-ok|retq22-off,symbol-weak-exit
