period,start_equity,end_equity,return_pct
2023,10000,53193.26922028004,431.93269220280035
2024,54658.69172428005,77743.07814437021,42.23369731668094
2025,77743.07814437021,87727.44309652032,12.842770302468566
2026,87727.44309652032,82622.65460689037,-5.818918584021093
