trade_id,strategy_type,sub_variant,symbol,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,fee,net_pnl,holding_bars,entry_reason,exit_reason
retq22-0001,trend,trend,SOL,2023-02-24T12:00:00.000Z,2023-02-24T18:00:00.000Z,23.79,22.86,420.34000000000003,-390.91619999999966,58.82658300000001,-449.7427829999997,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0002,trend,trend,ETH,2023-03-18T12:00:00.000Z,2023-03-24T18:00:00.000Z,1813.16,1737.51,5.267,-398.44854999999916,56.10413667,-454.55268666999916,25,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0003,trend,trend,ETH,2023-04-04T00:00:00.000Z,2023-04-15T00:00:00.000Z,1810.51,2099.99,5.023,1454.05804,58.92732449999999,1395.1307155,44,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0004,trend,trend,SOL,2023-04-15T00:00:00.000Z,2023-04-19T12:00:00.000Z,24.72,23.21,424.38,-640.8137999999999,61.0216002,-701.8354001999999,18,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0005,trend,trend,SOL,2023-04-20T12:00:00.000Z,2023-04-20T18:00:00.000Z,22.34,22.06,438.18,-122.6903999999995,58.365576000000004,-181.0559759999995,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0006,trend,trend,ETH,2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,1908.64,1903.26,5.033,-27.077540000002045,57.5558781,-84.63341810000205,2,trend-close>sma40|mom20-ok|eff-ok|retq22-off,risk-off
retq22-0007,trend,trend,ETH,2023-06-25T12:00:00.000Z,2023-06-29T00:00:00.000Z,1918.37,1828.03,4.964,-448.4477599999991,55.79138880000001,-504.2391487999991,14,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0008,trend,trend,SOL,2023-07-01T00:00:00.000Z,2023-07-17T12:00:00.000Z,18.85,27.14,478.46000000000004,3966.4334,66.01312620000002,3900.4202738,66,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0009,trend,trend,ETH,2023-07-17T12:00:00.000Z,2023-07-17T18:00:00.000Z,1910.09,1896.03,6.763,-95.08777999999984,77.22236868,-172.31014867999983,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0010,trend,trend,SOL,2023-07-23T00:00:00.000Z,2023-07-23T06:00:00.000Z,24.52,24.83,519.86,161.15659999999843,76.965273,84.19132699999844,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0011,range,range-reclaim,ETH,2023-07-28T12:00:00.000Z,2023-07-29T06:00:00.000Z,1866.63,1874.76,3.4370000000000003,27.942809999999554,38.57747229,-10.634662290000449,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0012,range,range-reclaim,ETH,2023-08-03T00:00:00.000Z,2023-08-03T18:00:00.000Z,1839.9,1846.66,3.484,23.551840000000084,38.531925120000004,-14.98008511999992,3,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,range-time
retq22-0013,range,range-reclaim,ETH,2023-08-08T12:00:00.000Z,2023-08-08T18:00:00.000Z,1839.08,1853.5,3.481,50.19602000000032,38.56161294,11.634407060000314,1,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0014,range,range-reclaim,ETH,2023-09-27T00:00:00.000Z,2023-09-27T12:00:00.000Z,1594.02,1629.63,4.0200000000000005,143.15220000000045,38.87721900000001,104.27498100000044,2,range-close<sma45|mom20-ok|pullback-ok|box-reclaim|range-fallback,mean-revert
retq22-0015,trend,trend,SOL,2023-10-02T12:00:00.000Z,2023-10-09T12:00:00.000Z,23.83,22.18,542.24,-894.6959999999999,74.8453872,-969.5413871999999,28,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0016,trend,trend,SOL,2023-10-19T00:00:00.000Z,2023-11-04T12:00:00.000Z,23.41,41.52,510.55,9246.060500000003,99.45003450000002,9146.610465500004,66,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0017,trend,trend,ETH,2023-11-04T12:00:00.000Z,2023-11-10T00:00:00.000Z,1837.49,2121.33,11.482000000000001,3259.0508800000025,136.36551372000002,3122.6853662800027,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0018,trend,trend,SOL,2023-11-10T00:00:00.000Z,2023-11-15T12:00:00.000Z,45.3,62.98,534.6800000000001,9453.142400000004,173.68545120000005,9279.456948800003,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0019,trend,trend,ETH,2023-11-15T12:00:00.000Z,2023-11-17T00:00:00.000Z,2013.16,1961.77,16.64,-855.1296000000002,198.4285056,-1053.5581056,6,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0020,trend,trend,ETH,2023-11-26T12:00:00.000Z,2023-11-27T18:00:00.000Z,2084.65,2010.45,15.564,-1154.8487999999998,191.2084092,-1346.0572091999998,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0021,trend,trend,ETH,2023-12-02T00:00:00.000Z,2023-12-07T12:00:00.000Z,2087.24,2236.04,14.9,2217.1200000000026,193.25061599999998,2023.8693840000026,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0022,trend,trend,AVAX,2023-12-07T12:00:00.000Z,2023-12-24T00:00:00.000Z,26.52,48.04,1249.06,26879.771199999996,279.38974079999997,26600.381459199994,66,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0023,trend,trend,ETH,2023-12-24T00:00:00.000Z,2023-12-26T06:00:00.000Z,2308.2,2234.69,25.875,-1902.0712499999936,352.64183625,-2254.7130862499935,9,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0024,trend,trend,SOL,2023-12-29T12:00:00.000Z,2023-12-31T00:00:00.000Z,107.56,101.9,534.3100000000001,-3024.1946000000025,335.74971780000004,-3359.9443178000024,6,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0025,range,range-atr_snapback,AVAX,2024-01-04T00:00:00.000Z,2024-01-05T00:00:00.000Z,36.79,38.72,588.32,1135.457599999998,133.27212960000003,1002.1854703999979,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0026,trend,trend,ETH,2024-01-09T12:00:00.000Z,2024-01-09T18:00:00.000Z,2298.77,2264,23.975,-833.6107499999998,328.17723225,-1161.78798225,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0027,trend,trend,SOL,2024-02-11T12:00:00.000Z,2024-02-17T00:00:00.000Z,109.71,110.32,491.76,299.9736000000048,324.6058584,-24.63225839999518,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0028,trend,trend,ETH,2024-02-17T00:00:00.000Z,2024-03-10T00:00:00.000Z,2801.81,3905.2,19.247,21236.947329999995,387.26946440999996,20849.677865589994,88,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0029,trend,trend,SOL,2024-03-10T00:00:00.000Z,2024-03-20T06:00:00.000Z,144.3,166.05,518.2,11270.850000000006,482.4701100000001,10788.379890000006,41,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0030,trend,trend,SOL,2024-03-26T12:00:00.000Z,2024-03-27T18:00:00.000Z,194.8,183.14,439.24,-5121.538400000005,498.01909680000006,-5619.557496800005,5,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0031,trend,trend,SOL,2024-04-01T00:00:00.000Z,2024-04-02T06:00:00.000Z,202.45,184.5,394.88,-7088.09599999999,458.39644799999996,-7546.49244799999,5,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0032,range,range-atr_snapback,AVAX,2024-04-06T12:00:00.000Z,2024-04-07T06:00:00.000Z,46.92,48.84,617.2,1185.0240000000013,177.30921600000005,1007.7147840000011,3,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-momentum
retq22-0033,trend,trend,SOL,2024-05-20T12:00:00.000Z,2024-05-24T12:00:00.000Z,177.72,166.34,413.04,-4700.395199999999,426.3316272,-5126.726827199999,16,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0034,trend,trend,SOL,2024-05-26T00:00:00.000Z,2024-05-26T06:00:00.000Z,168.35,166.71,405.58,-665.151199999993,407.68090440000003,-1072.832104399993,1,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0035,trend,trend,ETH,2024-05-31T12:00:00.000Z,2024-05-31T18:00:00.000Z,3802.62,3768.16,17.673000000000002,-609.0115800000058,401.39518482000005,-1010.4067648200058,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0036,trend,trend,ETH,2024-06-06T00:00:00.000Z,2024-06-07T18:00:00.000Z,3866,3724.06,17.122,-2430.2966800000067,389.87102196,-2820.1677019600065,7,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0037,trend,trend,SOL,2024-07-20T00:00:00.000Z,2024-07-30T18:00:00.000Z,169.12,177.38,374.74,3095.3524000000034,389.54223,2705.8101700000034,43,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0038,trend,trend,SOL,2024-07-31T00:00:00.000Z,2024-08-01T00:00:00.000Z,179.16,171.7,368.84000000000003,-2751.5463999999993,388.23360720000005,-3139.780007199999,4,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0039,trend,trend,ETH,2024-09-24T00:00:00.000Z,2024-09-29T12:00:00.000Z,2646.98,2652.49,23.778000000000002,131.0167799999981,378.03239298000005,-247.01561298000195,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0040,trend,trend,SOL,2024-09-29T12:00:00.000Z,2024-10-01T18:00:00.000Z,156.76,147.68,399.94,-3631.4551999999894,365.27320080000004,-3996.7284007999897,9,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0041,range,range-atr_snapback,AVAX,2024-10-05T00:00:00.000Z,2024-10-06T00:00:00.000Z,26.27,25.67,893.77,-536.2619999999988,139.2672414,-675.5292413999988,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0042,trend,trend,SOL,2024-10-16T00:00:00.000Z,2024-10-31T18:00:00.000Z,154.76,170.32,374.92,5833.7552,365.6369808,5468.1182192,63,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0043,trend,trend,SOL,2024-11-07T00:00:00.000Z,2024-11-12T12:00:00.000Z,186.59,211.12,340.27,8346.823100000001,405.9863451,7940.836754900001,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0044,trend,trend,AVAX,2024-11-12T12:00:00.000Z,2024-11-18T00:00:00.000Z,34.43,34.72,2074.7,601.6630000000005,430.3965149999999,171.26648500000056,22,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0045,trend,trend,SOL,2024-11-18T00:00:00.000Z,2024-11-23T12:00:00.000Z,237.47,256.13,301.52,5626.3631999999925,446.490816,5179.872383999993,22,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,trend-switch
retq22-0046,trend,trend,AVAX,2024-11-23T12:00:00.000Z,2024-11-29T00:00:00.000Z,42.31,42.78,1814.77,852.9418999999907,463.25633790000006,389.68556209999065,22,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,trend-switch
retq22-0047,trend,trend,ETH,2024-11-29T00:00:00.000Z,2024-12-04T12:00:00.000Z,3578.8,3729.09,21.563,3240.703269999998,472.74009620999993,2767.963173789998,22,trend-close>sma40|mom20-ok|eff-ok|retq22-off,trend-switch
retq22-0048,trend,trend,AVAX,2024-12-04T12:00:00.000Z,2024-12-09T18:00:00.000Z,53.93,48.76,1482.3,-7663.491000000009,456.652161,-8120.143161000009,21,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|eff-ok|retq22-off,sma-break
retq22-0049,trend,trend,ETH,2024-12-10T00:00:00.000Z,2024-12-10T06:00:00.000Z,3712,3702.82,19.348,-177.61463999999978,430.38581208,-608.0004520799998,1,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0050,trend,trend,ETH,2025-01-06T12:00:00.000Z,2025-01-07T18:00:00.000Z,3654.51,3442.56,19.486,-4130.057700000005,414.88051806,-4544.938218060005,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0051,trend,trend,SOL,2025-01-17T12:00:00.000Z,2025-01-27T00:00:00.000Z,218.77,240.49,304.73,6618.7356,419.85089940000006,6198.8847006,38,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0052,range,range-atr_snapback,SOL,2025-02-19T12:00:00.000Z,2025-02-20T12:00:00.000Z,173.92,173.99,167.58,11.730600000006234,174.9082734,-163.17767339999378,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0053,range,range-atr_snapback,SOL,2025-04-10T00:00:00.000Z,2025-04-11T00:00:00.000Z,119.05,112.8,244.27,-1526.6875,169.9019985,-1696.5894985,4,range-close<sma45|mom20-ok|pullback-ok|atr-snapback|range-fallback,range-time
retq22-0054,trend,trend,SOL,2025-04-15T12:00:00.000Z,2025-04-16T00:00:00.000Z,132.14,126.1,537.35,-3245.5939999999828,416.295792,-3661.8897919999827,2,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,risk-off
retq22-0055,trend,trend,SOL,2025-04-21T00:00:00.000Z,2025-04-30T18:00:00.000Z,137.86,144.69,488.5,3336.4550000000017,414.077025,2922.3779750000017,39,trend-close>sma40|mom20-ok|sol-ok|eff-ok|retq22-off,sma-break
retq22-0056,trend,trend,ETH,2025-05-02T00:00:00.000Z,2025-05-05T12:00:00.000Z,1838.1,1804.64,38.228,-1279.1088799999852,417.76399416000004,-1696.8728741599853,14,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0057,trend,trend,ETH,2025-05-13T00:00:00.000Z,2025-05-19T06:00:00.000Z,2495.48,2378.7,27.477,-3208.7640600000086,401.78353158000004,-3610.547591580009,25,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
retq22-0058,trend,trend,ETH,2025-05-29T12:00:00.000Z,2025-05-30T18:00:00.000Z,2715.82,2549.32,23.919,-3982.513500000001,377.81065098000005,-4360.324150980001,5,trend-close>sma40|mom20-ok|eff-ok|retq22-off,sma-break
