entry_time,exit_time,symbol,entry_price,exit_price,qty,gross_pnl,net_pnl,fee,holding_bars,exit_reason,strategy_mode
2022-02-15T12:00:00.000Z,2022-02-18T00:00:00.000Z,ETH,3094.82,2891.88,3.215,-652.4520999999986,-710.1938214999986,57.7417215,5,risk-off,A_BALANCE
2022-03-04T00:00:00.000Z,2022-03-04T12:00:00.000Z,SOL,95.63,93.16,96.65,-238.72549999999865,-293.46516049999866,54.7396605,1,sma-break,A_BALANCE
2022-03-09T12:00:00.000Z,2022-03-10T12:00:00.000Z,ETH,2745.26,2593.91,3.2600000000000002,-493.40100000000166,-545.6180826000017,52.217082600000005,2,risk-off,A_BALANCE
2022-03-20T12:00:00.000Z,2022-03-26T00:00:00.000Z,ETH,2886.49,3102.13,2.9130000000000003,628.1593200000007,575.8247698200007,52.33455018000001,11,rebalance-switch,A_BALANCE
2022-03-26T00:00:00.000Z,2022-04-09T00:00:00.000Z,SOL,98.6,109.92,91.08,1031.0256000000008,974.0495952000008,56.9760048,28,sma-break,A_BALANCE
2022-07-25T00:00:00.000Z,2022-07-26T12:00:00.000Z,ETH,1597.7,1406.33,6.228,-1191.8523600000008,-1247.9796565200008,56.127296519999994,3,risk-off,A_BALANCE
2022-07-30T12:00:00.000Z,2022-08-19T12:00:00.000Z,ETH,1704.77,1707.72,5.1080000000000005,15.068599999998696,-37.22439676000131,52.29299676000001,40,risk-off,A_BALANCE
2022-09-12T12:00:00.000Z,2022-09-14T00:00:00.000Z,SOL,37.7,33,230.02,-1081.094,-1129.8812420000002,48.787242000000006,3,risk-off,A_BALANCE
2022-10-26T12:00:00.000Z,2022-11-06T12:00:00.000Z,ETH,1528.49,1620.34,4.937,453.4634500000002,406.82612887000016,46.637321130000004,22,rebalance-switch,A_BALANCE
2022-11-06T12:00:00.000Z,2022-11-08T00:00:00.000Z,SOL,35.75,29.62,222.44,-1363.5571999999993,-1407.1799083999992,43.6227084,3,sma-break,A_BALANCE
2022-12-15T00:00:00.000Z,2022-12-16T00:00:00.000Z,SOL,14.12,14.05,464.03000000000003,-32.482099999999264,-71.69727529999926,39.2151753,2,risk-off,A_BALANCE
2023-01-11T12:00:00.000Z,2023-01-17T00:00:00.000Z,SOL,16.03,23.58,404.29,3052.3894999999993,3004.3477192999994,48.041780700000004,11,rebalance-switch,A_BALANCE
2023-01-17T00:00:00.000Z,2023-01-28T00:00:00.000Z,ETH,1576.94,1597.61,6.005,124.12334999999985,66.93383174999985,57.18951825,22,rebalance-switch,A_BALANCE
2023-01-28T00:00:00.000Z,2023-02-02T12:00:00.000Z,SOL,24.43,25,390.37,222.5108999999993,164.6229326999993,57.8879673,11,rebalance-switch,A_BALANCE
2023-02-02T12:00:00.000Z,2023-02-10T00:00:00.000Z,ETH,1671.98,1545.35,5.801,-734.5806300000004,-790.5718239900004,55.99119399,15,sma-break,A_BALANCE
2023-02-19T00:00:00.000Z,2023-02-24T12:00:00.000Z,ETH,1691.62,1647.43,5.269,-232.83710999999857,-285.6174733499986,52.78036335,11,rebalance-switch,A_BALANCE
2023-02-24T12:00:00.000Z,2023-02-25T12:00:00.000Z,SOL,23.79,22.77,362.74,-369.9948000000004,-420.6623232000004,50.6675232,2,sma-break,A_BALANCE
2023-03-02T00:00:00.000Z,2023-03-03T12:00:00.000Z,ETH,1665.23,1564.57,4.931,-496.3544600000005,-544.1328914000005,47.7784314,3,risk-off,A_BALANCE
2023-03-18T12:00:00.000Z,2023-03-24T00:00:00.000Z,ETH,1813.16,1813.78,4.23,2.622599999999693,-43.40326860000031,46.0258686,11,rebalance-switch,A_BALANCE
2023-03-24T00:00:00.000Z,2023-03-28T00:00:00.000Z,SOL,22.16,19.91,344.16,-774.3599999999997,-817.7964335999997,43.4364336,8,sma-break,A_BALANCE
2023-03-29T12:00:00.000Z,2023-04-15T00:00:00.000Z,ETH,1811.23,2099.99,3.761,1086.026359999999,1041.896064739999,44.13029526,33,rebalance-switch,A_BALANCE
2023-04-15T00:00:00.000Z,2023-04-21T00:00:00.000Z,SOL,24.72,22.19,317.54,-803.3761999999997,-848.0636041999996,44.6874042,12,sma-break,A_BALANCE
2023-05-29T00:00:00.000Z,2023-05-29T12:00:00.000Z,ETH,1908.64,1903.26,3.67,-19.7446000000009,-61.713619000000904,41.969019,1,risk-off,A_BALANCE
2023-06-25T12:00:00.000Z,2023-06-27T00:00:00.000Z,SOL,17.25,16.27,402.57,-394.5185999999994,-435.0010391999994,40.4824392,3,sma-break,A_BALANCE
2023-07-01T00:00:00.000Z,2023-07-24T12:00:00.000Z,SOL,18.85,23.62,345.44,1647.7487999999994,1603.7362895999993,44.012510400000004,47,sma-break,A_BALANCE
2023-10-02T12:00:00.000Z,2023-10-12T12:00:00.000Z,SOL,23.83,21.51,340.21,-789.2871999999988,-835.5625641999989,46.2753642,20,sma-break,A_BALANCE
2023-10-19T00:00:00.000Z,2023-11-15T12:00:00.000Z,SOL,23.41,62.98,310.8,12298.356,12217.805964,80.550036,55,rebalance-switch,A_BALANCE
2023-11-15T12:00:00.000Z,2023-11-21T00:00:00.000Z,AVAX,32.48,34.2,598.29,1029.0588000000025,909.3768684000025,119.6819316,11,rebalance-switch,A_BALANCE
2023-11-21T00:00:00.000Z,2023-11-26T12:00:00.000Z,SOL,56.57,57.86,359.5,463.7549999999974,340.3422449999974,123.412755,11,rebalance-switch,A_BALANCE
