month,start_equity,end_equity,return_pct
2022-02,9983.807659080003,9849.556125580004,-1.3446927072748749
2022-03,9849.556125580004,12380.90393858001,25.70012070316463
2022-04,11946.69837488001,12325.37546003001,3.169721652521451
2022-05,12325.37546003001,12325.37546003001,0
2022-06,12325.37546003001,12325.37546003001,0
2022-07,12325.37546003001,12844.753828130011,4.213894901492399
2022-08,12543.014868830012,12763.817667230012,1.7603646388772543
2022-09,12763.817667230012,12763.817667230012,0
2022-10,12763.817667230012,12265.116904590015,-3.9071442074918417
2022-11,11898.372687870016,11175.000294990015,-6.079590981525184
2022-12,11175.000294990015,11175.000294990015,0
2023-01,11175.000294990015,17706.658883390017,58.44884488574269
2023-02,17868.857264070015,15476.540956060018,-13.388188582268047
2023-03,15246.238143460017,13814.107444000025,-9.393338120422289
2023-04,13814.107444000025,13137.41818055003,-4.8985377172805045
2023-05,12718.80529805003,12422.985527750032,-2.3258455756481444
2023-06,12422.985527750032,12474.559579850033,0.4151502228252335
2023-07,12755.596003640032,14923.066006440045,16.992306766234112
2023-08,14923.066006440045,14923.066006440045,0
2023-09,14923.066006440045,14639.41305395005,-1.9007685978711497
2023-10,14595.219024980048,18103.678887910057,24.038418724139742
2023-11,18156.210239650056,26567.32759483006,46.32639325144827
2023-12,26651.31487483006,28567.078679130063,7.188252486969349
2024-01,28567.078679130063,24354.862820960076,-14.745000374319893
2024-02,24354.862820960076,33806.37330692008,38.807488079242745
2024-03,32136.852859160084,43307.46742772008,34.759516177627205
2024-04,44768.804425120084,34842.16945832009,-22.173107131782356
2024-05,34842.16945832009,34639.90202975009,-0.5805247827979199
2024-06,34273.316485580086,33539.69091479008,-2.140515263816578
2024-07,33539.69091479008,37658.65026839008,12.28085066157738
2024-08,35588.00609279009,30619.42973399009,-13.96137885849863
2024-09,30619.42973399009,31154.3869353901,1.7471168014803418
2024-10,31154.3869353901,28292.28140303011,-9.186845943383837
2024-11,27274.197544930106,29341.337052430114,7.579102938206361
2024-12,28873.13827523011,27980.965546970117,-3.0899749093965867
2025-01,27980.965546970117,25271.011678370123,-9.684990548488914
2025-02,24864.37036592013,24497.420547860133,-1.475805792222884
2025-03,24497.420547860133,24497.420547860133,0
2025-04,24497.420547860133,25717.383075200138,4.979963196356074
2025-05,25405.152654990135,34383.69989340014,35.34144179466845
2025-06,34383.69989340014,31610.88445294015,-8.064331206520981
2025-07,32540.204404040152,46179.23006124016,41.91438224495787
2025-08,44496.45009174016,42224.97920562016,-5.104836186789763
2025-09,42224.97920562016,41471.53431542017,-1.7843582267524472
2025-10,41471.53431542017,39679.66213682017,-4.320727959982273
2025-11,39679.66213682017,39679.66213682017,0
2025-12,39679.66213682017,39679.66213682017,0
2026-01,39679.66213682017,39679.66213682017,0
