period,start_equity,end_equity,return_pct
2023-02,10000,9077.530550950001,-9.224694490499985
2023-03,9077.530550950001,9125.332662430004,0.5265981889204463
2023-04,8983.068140230003,8783.407438430004,-2.222633722501044
2023-05,8783.407438430004,8706.038402730004,-0.8808544547471042
2023-06,8706.038402730004,9721.170305830005,11.660089884070345
2023-07,9652.122233350005,11045.492697370008,14.435897415447464
2023-08,11045.492697370008,11045.492697370008,0
2023-09,11045.492697370008,11045.492697370008,0
2023-10,11045.492697370008,16102.377221770012,45.78233550056192
2023-11,16394.692636770014,28622.448195670033,74.5836218452526
2023-12,29148.508147030032,51065.13775311004,75.18954141847946
2024-01,52471.93665711004,51597.951696190044,-1.6656236011093895
2024-02,51597.951696190044,55100.25275468006,6.78767459435532
2024-03,56491.039041080054,94386.23308348007,67.08177913817939
2024-04,92017.13516328007,84029.62320308006,-8.680461466254673
2024-05,84029.62320308006,79693.46087181011,-5.160278204259539
2024-06,79901.2325412301,74273.34596309012,-7.0435541469725305
2024-07,74273.34596309012,81503.82374469015,9.734956312851706
2024-08,80126.70848181014,75749.09824663015,-5.463359618938757
2024-09,75749.09824663015,71359.6836467502,-5.79467571427521
2024-10,72241.82127075021,71188.06326458023,-1.4586537100451547
2024-11,71424.52295098024,72150.55462485024,1.0165019574135403
2024-12,71630.17009599024,72125.77440919024,0.6918932518739762
2025-01,72125.77440919024,68764.89825059027,-4.659743602242328
2025-02,68764.89825059027,68764.89825059027,0
2025-03,68764.89825059027,68764.89825059027,0
2025-04,68764.89825059027,69595.67101549028,1.2081349438961553
2025-05,71529.43925449028,89401.76535051028,24.98597260413733
2025-06,92284.60572575027,84817.87009547028,-8.090987192890541
2025-07,84817.87009547028,110905.4283291903,30.75714846925075
2025-08,110337.19328383032,111339.23668147031,0.9081646612691507
2025-09,111339.23668147031,110918.47546835036,-0.37790919505197307
2025-10,110918.47546835036,79271.14465591036,-28.532064364218822
2025-11,79271.14465591036,79271.14465591036,0
2025-12,79271.14465591036,79271.14465591036,0
