month,trades,profit_units,wins,losses,win_rate,id
2025-08,1741,185.00000000000006,1070,671,0.6145893164847789,ML_HGB_T0.55
2025-09,1325,93.40000000000003,788,537,0.5947169811320755,ML_HGB_T0.55
2025-10,1891,288.80000000000007,1211,680,0.6404019037546271,ML_HGB_T0.55
2025-11,1791,370.80000000000007,1201,590,0.6705750977107761,ML_HGB_T0.55
2025-12,1423,261.80000000000007,936,487,0.657765284609979,ML_HGB_T0.55
2026-01,1410,265.80000000000007,931,479,0.6602836879432624,ML_HGB_T0.55
2026-02,1919,37.60000000000005,1087,832,0.566440854611777,ML_HGB_T0.55
2026-03,1577,23.20000000000004,889,688,0.5637285986049461,ML_HGB_T0.55
2026-04,1384,32.60000000000004,787,597,0.5686416184971098,ML_HGB_T0.55
2026-05,1176,-86.99999999999997,605,571,0.5144557823129252,ML_HGB_T0.55
2026-06,1748,-30.799999999999958,954,794,0.545766590389016,ML_HGB_T0.55
2026-07,1329,-32.99999999999997,720,609,0.5417607223476298,ML_HGB_T0.55
2025-08,383,-10.999999999999991,205,175,0.5394736842105263,R128
2025-09,355,-13.799999999999992,189,165,0.5338983050847458,R128
2025-10,376,8.40000000000001,213,162,0.568,R128
2025-11,368,-8.59999999999999,198,167,0.5424657534246575,R128
2025-12,367,23.80000000000001,216,149,0.5917808219178082,R128
2026-01,356,12.600000000000009,202,149,0.5754985754985755,R128
2026-02,380,12.60000000000001,217,161,0.5740740740740741,R128
2026-03,468,27.200000000000014,274,192,0.5879828326180258,R128
2026-04,371,57.20000000000001,234,130,0.6428571428571429,R128
2026-05,390,-29.59999999999999,198,188,0.5129533678756477,R128
2026-06,377,19.20000000000001,219,156,0.584,R128
2026-07,385,-4.799999999999991,209,172,0.5485564304461942,R128
