id,family,params,train_trades,train_wins,train_losses,train_ties,train_win_rate,train_expectancy,train_profit_units,train_max_dd_units,train_max_loss_streak,train_positive_month_ratio,train_compound_end,train_compound_return,train_compound_max_dd,validation_trades,validation_wins,validation_losses,validation_ties,validation_win_rate,validation_expectancy,validation_profit_units,validation_max_dd_units,validation_max_loss_streak,validation_positive_month_ratio,validation_compound_end,validation_compound_return,validation_compound_max_dd,neighbor_stability
R293,hybrid,"{""adx_switch"": 22, ""mr_rsi"": 32, ""mr_z"": 1.6, ""trend_rsi"": 58}",51755,24415,27041,299,0.47448305348258707,-0.14593050373134328,-7509.000000000001,-7511.3999999970065,23,0.0,2.885283990176406e-34,-1.0,-1.0,25642,11691,13703,248,0.46038434275813184,-0.17130818303536272,-4350.200000000001,-4356.1999999991,28,0.0,4.427437737402285e-20,-1.0,-1.0,0.0
R294,hybrid,"{""adx_switch"": 22, ""mr_rsi"": 36, ""mr_z"": 1.6, ""trend_rsi"": 58}",56769,27152,29280,337,0.48114544939041676,-0.1339381910972498,-7558.400000000001,-7560.7999999966505,22,0.0,1.4416693107002167e-34,-1.0,-1.0,28034,12985,14782,267,0.46764144488061365,-0.1582453992148954,-4394.0,-4399.999999998933,28,0.0,2.5969045238387315e-20,-1.0,-1.0,0.0
R295,hybrid,"{""adx_switch"": 22, ""mr_rsi"": 28, ""mr_z"": 1.9, ""trend_rsi"": 58}",49919,23383,26250,286,0.47111800616525296,-0.15198758890254468,-7543.6,-7545.999999997125,21,0.0,2.1952323915961263e-34,-1.0,-1.0,24665,11142,13281,242,0.4562093108954674,-0.1788232403881587,-4367.4,-4373.39999999915,28,0.0,3.874968836800473e-20,-1.0,-1.0,0.0
R296,hybrid,"{""adx_switch"": 22, ""mr_rsi"": 32, ""mr_z"": 1.9, ""trend_rsi"": 58}",51528,24293,26939,296,0.4741762960649594,-0.1464826670830731,-7504.6,-7506.999999997021,21,0.0,3.0423823971627357e-34,-1.0,-1.0,25563,11650,13665,248,0.46020146158404107,-0.1716373691487261,-4345.0,-4350.999999999106,28,0.0,4.678786749188526e-20,-1.0,-1.0,0.0
R297,hybrid,"{""adx_switch"": 22, ""mr_rsi"": 36, ""mr_z"": 1.9, ""trend_rsi"": 58}",55302,26373,28607,322,0.4796835212804656,-0.13656966169516185,-7508.6,-7510.99999999674,21,0.0,2.5155049491862134e-34,-1.0,-1.0,27378,12631,14485,262,0.46581354182032747,-0.16153562472341051,-4380.200000000001,-4386.199999998972,28,0.0,3.060376233913441e-20,-1.0,-1.0,0.0
R298,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.3, ""trend_rsi"": 52}",44249,21009,23000,240,0.47737962689449887,-0.1407166715899021,-6192.800000000001,-6203.999999997735,20,0.0,2.050193405521526e-28,-1.0,-1.0,21897,10101,11572,224,0.4660637659760993,-0.16108522124302127,-3491.2000000000003,-3497.599999999473,32,0.0,2.7880895648885444e-16,-0.9999999999999997,-0.9999999999999998,0.0
R299,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.3, ""trend_rsi"": 52}",47732,22950,24518,264,0.48348361001095475,-0.12972950198028146,-6158.0,-6168.79999999751,20,0.0,2.5287916913248e-28,-1.0,-1.0,23708,11140,12330,238,0.47464848743076266,-0.14563272262462718,-3418.0,-3425.1999999994196,32,0.0,5.398549498302741e-16,-0.9999999999999994,-0.9999999999999994,0.0
R300,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.3, ""trend_rsi"": 52}",56566,27682,28555,329,0.4922382061632022,-0.11397122890623612,-6409.400000000001,-6419.599999996807,20,0.0,1.436916687326391e-29,-1.0,-1.0,27812,13393,14145,274,0.4863461398794393,-0.12457694821700924,-3430.6000000000004,-3439.3999999992993,32,0.0,4.0432828617891507e-16,-0.9999999999999996,-0.9999999999999997,0.0
R301,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.6, ""trend_rsi"": 52}",44239,21008,22991,240,0.47746539694083956,-0.14056228550648878,-6184.6,-6195.79999999774,20,0.0,2.2264735941109044e-28,-1.0,-1.0,21894,10100,11570,224,0.4660821412090448,-0.16105214582371943,-3490.0,-3496.399999999473,32,0.0,2.8221220997133383e-16,-0.9999999999999997,-0.9999999999999998,0.0
R302,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.6, ""trend_rsi"": 52}",47524,22844,24417,263,0.48335837159603057,-0.12995493112714504,-6141.800000000001,-6152.599999997525,20,0.0,2.9987619935643855e-28,-1.0,-1.0,23607,11077,12293,237,0.4739837398373984,-0.14682926829268295,-3431.4,-3438.599999999423,32,0.0,4.739814712455595e-16,-0.9999999999999996,-0.9999999999999996,0.0
R303,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 36, ""mr_z"": 1.6, ""trend_rsi"": 52}",54977,26861,27798,318,0.49142867597284984,-0.11542838324887028,-6309.200000000001,-6319.399999996917,20,0.0,4.17342310574694e-29,-1.0,-1.0,27131,12997,13868,266,0.4837893169551461,-0.12917922948073704,-3470.4000000000005,-3479.1999999993004,32,0.0,2.7887816110339286e-16,-0.9999999999999997,-0.9999999999999998,0.0
R304,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 28, ""mr_z"": 1.9, ""trend_rsi"": 52}",44151,20955,22956,240,0.4772152763544442,-0.1410125025620004,-6192.0,-6203.199999997736,20,0.0,2.074806195072425e-28,-1.0,-1.0,21867,10082,11562,223,0.465810386250231,-0.1615413047495842,-3496.3999999999996,-3502.7999999994745,32,0.0,2.6497485606483557e-16,-0.9999999999999998,-0.9999999999999998,0.0
R305,hybrid,"{""adx_switch"": 26, ""mr_rsi"": 32, ""mr_z"": 1.9, ""trend_rsi"": 52}",46879,22494,24126,259,0.4824967824967825,-0.1315057915057915,-6130.8,-6141.599999997567,20,0.0,3.4349002667989894e-28,-1.0,-1.0,23327,10914,12178,235,0.4726312142733414,-0.14926381430798547,-3446.8,-3453.9999999994297,32,0.0,4.1081590772224025e-16,-0.9999999999999996,-0.9999999999999997,0.0
