period,start_equity,end_equity,return_pct
2023-02,10000,9700.1681617,-2.9983183830000093
2023-03,9700.1681617,9716.672210587241,0.17014188426554
2023-04,9671.185315645962,11474.407043206846,18.645302191073164
2023-05,11474.407043206846,11373.327870506848,-0.8809097700594459
2023-06,11373.327870506848,11249.55473452685,-1.0882754580650467
2023-07,11068.727847526852,15426.898676686857,39.37372830188226
2023-08,15426.898676686857,15333.24245352686,-0.6070968969383972
2023-09,15333.24245352686,15582.750175476862,1.627233918111104
2023-10,15582.750175476862,18806.883832623746,20.690402020439368
2023-11,18634.881392942785,23532.510379863543,26.282050760867936
2023-12,23965.026925863545,44281.281871242405,84.77459678316966
2024-01,45501.18315524241,44743.321193502416,-1.665587374188271
2024-02,44743.321193502416,59474.10833386471,32.92287373272031
2024-03,60766.73099725474,101332.08171624322,66.75585481276111
2024-04,98785.96106224321,96387.95758574322,-2.427473955523951
2024-05,96387.95758574322,82031.32360696433,-14.894634494156334
2024-06,82721.20074796434,80226.40739871433,-3.0159056284146057
2024-07,80226.40739871433,81107.14171551434,1.0978109893702293
2024-08,80653.11270111434,77493.82747591434,-3.9171274602974537
2024-09,77493.82747591434,80825.4751895257,4.299242690841232
2024-10,82093.11881475801,96784.3382318229,17.895798855218814
2024-11,95731.51436983424,310478.6072622669,224.32225616197
2024-12,309978.84099250694,252794.2341883671,-18.4479065155038
2025-01,252794.2341883671,230570.9478698283,-8.791057434474292
2025-02,230570.9478698283,244889.39185222832,6.209994847435718
2025-03,244889.39185222832,244889.39185222832,0
2025-04,244889.39185222832,438662.9441499788,79.12696864169509
2025-05,438662.9441499788,565566.1495579126,28.929547640236876
2025-06,565566.1495579126,548101.9720543828,-3.08791067449512
2025-07,548101.9720543828,837243.8941865899,52.75330812046748
2025-08,856699.8120622595,955157.3294356364,11.49265074966792
2025-09,955157.3294356364,872115.0931765503,-8.694089832106755
2025-10,872115.0931765503,861194.0425693006,-1.2522487791687409
2025-11,861194.0425693006,861194.0425693006,0
2025-12,861194.0425693006,861194.0425693006,0
2026-01,861194.0425693006,836573.1308545193,-2.8589273146069183
2026-02,836573.1308545193,836573.1308545193,0
2026-03,836573.1308545193,731238.0108605394,-12.591262629530686
2026-04,731238.0108605394,786438.1230795671,7.54885706147399
