period,start_equity,end_equity,return_pct
2023-02,10000,8481.547403410004,-15.184525965899953
2023-03,8481.547403410004,8495.978214968278,0.17014361733651562
2023-04,8456.205784767837,11186.0853748258,32.282558626651394
2023-05,11186.0853748258,11843.0564872258,5.873110121960168
2023-06,11843.0564872258,11714.171887595805,-1.0882714252778647
2023-07,11525.876473595807,16064.052552555813,39.3738045809908
2023-08,16064.052552555813,15966.536056315814,-0.6070479159661635
2023-09,15966.536056315814,16226.341581115817,1.6271877875303709
2023-10,16226.341581115817,23942.539229433747,47.55352652811169
2023-11,23723.5675380631,29958.567358345725,26.2818811305632
2023-12,30509.192751625724,56373.247128072835,84.77462706734156
2024-01,57926.27004007284,56961.59440211285,-1.6653508629032032
2024-02,56961.59440211285,75714.29108107177,32.921649886723216
2024-03,77359.88126276045,129002.54695321112,66.75639213436907
2024-04,125761.1996550111,122708.50572631112,-2.4273734165021876
2024-05,122708.50572631112,104431.51377224369,-14.8946414479469
2024-06,105309.77378408368,102133.7340137637,-3.0159021866591473
2024-07,102133.7340137637,103254.9774761637,1.0978189265545613
2024-08,102676.96313696369,98654.9466933637,-3.917155631331737
2024-09,98654.9466933637,102389.0679372333,3.7850319411512956
2024-10,103654.7823682333,120747.2730965919,16.489823564182092
2024-11,119433.77948160881,387350.57228132436,224.32246049868257
2024-12,386727.0655499644,315384.00553997443,-18.447909744442892
2025-01,315384.00553997443,287658.4431106487,-8.791048988630957
2025-02,287658.4431106487,305522.0107960487,6.2099924800499195
2025-03,305522.0107960487,305522.0107960487,0
2025-04,305522.0107960487,547272.2834004825,79.12695781706356
2025-05,547272.2834004825,705595.6669401138,28.929545372896847
2025-06,705595.6669401138,683807.6117467339,-3.0878952655514436
2025-07,683807.6117467339,1044538.8381987632,52.75332129318788
2025-08,1068811.8869427084,1191646.750857644,11.492655107560568
2025-09,1191646.750857644,1088043.9541643653,-8.694086281753755
2025-10,1088043.9541643653,1074418.9284142156,-1.252249571168651
2025-11,1074418.9284142156,1074418.9284142156,0
2025-12,1074418.9284142156,1074418.9284142156,0
2026-01,1074418.9284142156,1043702.0607718452,-2.858928377937908
2026-02,1043702.0607718452,1043702.0607718452,0
2026-03,1043702.0607718452,912286.9890909053,-12.591243863574919
2026-04,912286.9890909053,981154.2195811942,7.548855931718945
