period,start_equity,end_equity,return_pct
2023-02,10000,9638.263802800002,-3.617361971999977
2023-03,9638.263802800002,8691.331489200002,-9.824718776891206
2023-04,8691.331489200002,7692.738539400002,-11.489527824831768
2023-05,7692.738539400002,7624.4697306000035,-0.8874448085079867
2023-06,7624.4697306000035,7526.298389800004,-1.287582537130405
2023-07,7405.318421800004,9502.304533800003,28.317298359876418
2023-08,9502.304533800003,9502.304533800003,0
2023-09,9502.304533800003,9502.304533800003,0
2023-10,9502.304533800003,13852.662714200003,45.782138058463985
2023-11,14104.137021200004,21131.047656800005,49.82162769007288
2023-12,21748.955954000005,36603.9025175,68.30188352451887
2024-01,37609.7997455,33905.942452400006,-9.84811756021955
2024-02,33905.942452400006,31551.809706400014,-6.943127297832586
2024-03,31551.809706400014,43938.57928090003,39.25850748265467
2024-04,42835.52938790001,39116.55089490001,-8.6819949377129
2024-05,39116.55089490001,36478.989147900014,-6.742828001596313
2024-06,36489.9611329,33205.3172289,-9.001500144209551
2024-07,33205.3172289,33569.849926500014,1.097814229832883
2024-08,33381.92898570001,32074.31243930001,-3.917138961502642
2024-09,32074.31243930001,31353.549605300013,-2.247165345676627
2024-10,31741.123385300016,30959.74123480002,-2.461734391108128
2024-11,31062.55586280002,37935.507897100026,22.126163940459676
2024-12,37837.87228530003,35888.361216900026,-5.152274561583592
2025-01,35888.361216900026,36829.32254370002,2.621912215810207
2025-02,36829.32254370002,36829.32254370002,0
2025-03,36829.32254370002,36829.32254370002,0
2025-04,36829.32254370002,37274.30039120004,1.208216216771385
2025-05,38310.000940200036,35910.206985200035,-6.264144860622578
2025-06,35910.206985200035,35910.206985200035,0
2025-07,35910.206985200035,38042.797271600044,5.938674447849701
2025-08,38042.797271600044,33671.68668200004,-11.489982080952677
2025-09,33671.68668200004,31491.37359900005,-6.475211959505223
2025-10,31491.37359900005,29116.668148800054,-7.540812542630404
2025-11,29116.668148800054,29116.668148800054,0
2025-12,29116.668148800054,29116.668148800054,0
2026-01,29116.668148800054,28883.65457430006,-0.8002755442662046
2026-02,28883.65457430006,28883.65457430006,0
2026-03,28883.65457430006,25911.254820000064,-10.290940665606641
2026-04,25911.254820000064,25423.664249600068,-1.8817713529784008
