variantId,v12Multiplier,entryPolicy,normalReturnPct,normalPf,normalPfWithoutBest,normalDdPct,severeReturnPct,severePf,severePfWithoutBest,severeDdPct,worstPriorityNormalReturnPct,worstPrioritySevereReturnPct,worstPrioritySeverePf,worstPrioritySeverePfWithoutBest,worstPrioritySevereDdPct,normalPriorityDeltaPctPoint,normalGainVsBaselinePctPoint,severeGainVsBaselinePctPoint,maxObservedTotalGross,gatePass,robustScore
V12_X0.75_US_RTH_OFF,0.75,US_RTH_OFF,644.21115663,3.20742753,3.04263763,-11.74229861,127.54745976,1.99168033,1.82600664,-16.61803831,644.21115663,127.54745976,1.99168033,1.82600664,-16.61803831,0.0,220.90528932,29.65982475,2.25,True,121.73114635
V12_X0.50_JST_16_24,0.5,JST_16_24,462.1518251,3.2050337,3.01330937,-11.46959372,119.85995615,2.31936342,2.08708625,-17.76298622,462.1518251,119.85995615,2.31936342,2.08708625,-17.76298622,0.0,38.84595779,21.97232114,2.25,True,113.64291097
V12_X0.50_JST_00_08,0.5,JST_00_08,513.13746283,3.34190354,3.14721928,-11.55044476,119.34404943,2.23885496,2.02019504,-17.2873368,513.13746283,119.34404943,2.23885496,2.02019504,-17.2873368,0.0,89.83159552,21.45641442,2.25,True,113.29348155
V12_X0.25_ALL,0.25,ALL,519.03833167,3.32220848,3.12881378,-11.58712878,119.23192218,2.22738146,2.00840145,-17.52471246,519.03833167,119.23192218,2.22738146,2.00840145,-17.52471246,0.0,95.73246436,21.34428717,2.25,True,113.09827282
V12_X0.50_JST_08_16,0.5,JST_08_16,511.85977615,3.37945991,3.17850955,-11.59920243,117.98502689,2.27049534,2.0402974,-17.48222669,511.85977615,117.98502689,2.27049534,2.0402974,-17.48222669,0.0,88.55390884,20.09739188,2.25,True,111.86624755
V12_X0.50_US_RTH_OFF,0.5,US_RTH_OFF,562.35260614,3.24059725,3.06191336,-11.63006282,117.42925156,2.06013478,1.8713289,-17.07182443,562.35260614,117.42925156,2.06013478,1.8713289,-17.07182443,0.0,139.04673883,19.54161655,2.25,True,111.45411301
V12_X0.25_JST_16_24,0.25,JST_16_24,442.47445392,3.26214004,3.05982682,-11.43777053,108.62953186,2.29506319,2.04992489,-17.86984431,442.47445392,108.62953186,2.29506319,2.04992489,-17.86984431,0.0,19.16858661,10.74189685,2.25,True,102.37508635
V12_X0.25_JST_00_08,0.25,JST_00_08,466.58204497,3.33368731,3.12975654,-11.47815676,108.40677136,2.25252561,2.01511248,-17.6320196,466.58204497,108.40677136,2.25252561,2.01511248,-17.6320196,0.0,43.27617766,10.51913635,2.25,True,102.2355645
V12_X0.25_JST_08_16,0.25,JST_08_16,465.99839712,3.35300966,3.14575621,-11.50257489,107.75385706,2.26955706,2.02568898,-17.72946455,465.99839712,107.75385706,2.26955706,2.02568898,-17.72946455,0.0,42.69252981,9.86622205,2.25,True,101.54854447
V12_X0.25_US_RTH_OFF,0.25,US_RTH_OFF,488.99292516,3.27925123,3.08437973,-11.51794557,107.53972877,2.14890105,1.93008974,-17.52471246,488.99292516,107.53972877,2.14890105,1.93008974,-17.52471246,0.0,65.68705785,9.65209376,2.25,True,101.40607941
BASELINE_PENGU_STOCK,0.0,NONE,423.30586731,3.32485307,3.1108883,-11.40594734,97.88763501,2.26854061,2.00927629,-17.97670241,423.30586731,97.88763501,2.26854061,2.00927629,-17.97670241,0.0,0.0,0.0,2.25,False,91.59578917
