symbol,period,observations,gap_mean_bps,gap_std_bps,gap_p01_bps,gap_p50_bps,gap_p99_bps,return_corr_shift_-2,return_corr_shift_-1,return_corr_shift_+0,return_corr_shift_+1,return_corr_shift_+2,best_shift,best_shift_corr
BTCUSDT,selection,52416,0.43104270984433996,1.8957959279772816,-2.3551541185607037,0.12091358826814624,7.749233772765189,-0.026658928675631282,-0.009474402992334057,0.9969054590619207,-0.0024045933839660313,-0.02218284849375354,0,0.9969054590619207
BTCUSDT,holdout,26208,-0.12544672474725038,1.067342045087894,-2.7030651684084406,-0.08325640229892656,2.5144165496404893,-0.00040378575933722167,-0.020802737139588228,0.9970262797257308,-0.014929871798447052,-0.0015224691565674886,0,0.9970262797257308
ETHUSDT,selection,52416,0.4313530734775189,2.2854137483927035,-3.0676126087551663,0.05149874268906541,11.932824406958044,-0.012449099147528718,-0.0024157218046025643,0.9980376747995213,0.001691446785826936,-0.009657910555295357,0,0.9980376747995213
ETHUSDT,holdout,26208,-0.07130174922881867,1.0494825970245723,-2.9821157274587846,-0.055603610196018,2.550995082382283,0.00667747081622502,-0.01633494363035659,0.9974875497475242,-0.012423410233764759,0.006644589304909497,0,0.9974875497475242
SOLUSDT,selection,52416,0.22422565929322616,4.325950743339576,-4.639653005412986,0.0,11.57543444671361,-0.01558340983816845,-0.04073197668266932,0.9819804505281101,-0.040526578923273514,0.008763254251681589,0,0.9819804505281101
SOLUSDT,holdout,26208,-0.5388186672318852,1.471366908885666,-4.186687238592827,0.0,3.0823483385325923,0.005491446697937544,-0.020305797370882925,0.9956977783372544,-0.01578168979009172,0.005389764778276359,0,0.9956977783372544
PENGUUSDT,selection,52416,4.105834929795174,37.912991589297064,-103.83214837954318,4.332442843417725,100.49736364360065,-0.12133733730619663,-0.08826661355694441,0.7861562897510614,0.27752391013329897,-0.13415405960078283,0,0.7861562897510614
PENGUUSDT,holdout,26208,-0.03156826798440442,41.06474891960487,-116.13801058970456,0.0,105.80166578122922,-0.01074306559727774,-0.0007506765888478744,0.5481297908289738,0.21294600141388523,0.07364608671904538,0,0.5481297908289738
