execution_price,delay_minutes,cost_bps_per_side_per_venue,volume_quantile_filter,active_bar_ratio,total_return,cagr,max_drawdown,sharpe,average_month,median_month,best_month,worst_month,positive_month_ratio,positive_week_ratio,best_week,worst_week,weeks
bar_open,5,5,0.0,0.14102564102564102,1.975297703381063,78.56073206425229,-0.06842321041187183,8.118700559002873,0.4430982529005935,0.4059251454746253,0.6040447264160695,0.3193248868110856,1.0,0.9285714285714286,0.1910844973843009,-0.006392325669901777,14
bar_open,5,5,0.1,0.14102564102564102,1.975297703381063,78.56073206425229,-0.06842321041187183,8.118700559002873,0.4430982529005935,0.4059251454746253,0.6040447264160695,0.3193248868110856,1.0,0.9285714285714286,0.1910844973843009,-0.006392325669901777,14
bar_open,5,5,0.25,0.14102564102564102,1.975297703381063,78.56073206425229,-0.06842321041187183,8.118700559002873,0.4430982529005935,0.4059251454746253,0.6040447264160695,0.3193248868110856,1.0,0.9285714285714286,0.1910844973843009,-0.006392325669901777,14
bar_open,5,5,0.5,0.028083028083028084,0.1142091396626328,0.5435446852359622,-0.04497000713918753,1.698651229034741,0.036730203883968006,0.04058490715481544,0.04281558359238824,0.026790120904700343,1.0,0.5714285714285714,0.030992315617502708,-0.011070912955464363,14
bar_open,5,10,0.0,0.14102564102564102,0.6032835136221497,5.651028081236968,-0.11255733317620553,3.6606936339551917,0.17485454142971757,0.19560914755001835,0.2870780261122856,0.04187645062684875,1.0,0.9285714285714286,0.07335223808988567,-0.02998414802615046,14
bar_open,5,10,0.1,0.14102564102564102,0.6032835136221497,5.651028081236968,-0.11255733317620553,3.6606936339551917,0.17485454142971757,0.19560914755001835,0.2870780261122856,0.04187645062684875,1.0,0.9285714285714286,0.07335223808988567,-0.02998414802615046,14
bar_open,5,10,0.25,0.14102564102564102,0.6032835136221497,5.651028081236968,-0.11255733317620553,3.6606936339551917,0.17485454142971757,0.19560914755001835,0.2870780261122856,0.04187645062684875,1.0,0.9285714285714286,0.07335223808988567,-0.02998414802615046,14
bar_open,5,10,0.5,0.028083028083028084,-0.005925066251130762,-0.023571055600472124,-0.08113257068484547,0.05426473656548998,-0.0019616438333349326,-0.0036179199432663234,0.005923190743447826,-0.0081902023001863,0.3333333333333333,0.2857142857142857,0.020717925350391297,-0.02402028361946329,14
bar_open,5,20,0.0,0.14102564102564102,-0.5353105320247846,-0.9538652254180175,-0.567279594059387,-5.0397787957696085,-0.21945206192895927,-0.17187830817518457,-0.13576517350091377,-0.3507127041107795,0.0,0.14285714285714285,0.013802990546477156,-0.15187412756210394,14
bar_open,5,20,0.1,0.14102564102564102,-0.5353105320247846,-0.9538652254180175,-0.567279594059387,-5.0397787957696085,-0.21945206192895927,-0.17187830817518457,-0.13576517350091377,-0.3507127041107795,0.0,0.14285714285714285,0.013802990546477156,-0.15187412756210394,14
bar_open,5,20,0.25,0.14102564102564102,-0.5353105320247846,-0.9538652254180175,-0.567279594059387,-5.0397787957696085,-0.21945206192895927,-0.17187830817518457,-0.13576517350091377,-0.3507127041107795,0.0,0.14285714285714285,0.013802990546477156,-0.15187412756210394,14
bar_open,5,20,0.5,0.028083028083028084,-0.20900283523140362,-0.6098016611279495,-0.23349541717142308,-3.1382625047414026,-0.07501885238168533,-0.0640936260792756,-0.061844030358367275,-0.09911890070741314,0.0,0.2857142857142857,0.008012209114936164,-0.08094923205237836,14
bar_open,5,50,0.0,0.14102564102564102,-0.9888538999818748,-0.9999999855000196,-0.9889154420011704,-24.97175826831681,-0.7664050241151908,-0.7805942728400931,-0.6748700887903442,-0.8437507107151353,0.0,0.0,-0.022229610840061587,-0.5712941370627564,14
bar_open,5,50,0.1,0.14102564102564102,-0.9888538999818748,-0.9999999855000196,-0.9889154420011704,-24.97175826831681,-0.7664050241151908,-0.7805942728400931,-0.6748700887903442,-0.8437507107151353,0.0,0.0,-0.022229610840061587,-0.5712941370627564,14
bar_open,5,50,0.25,0.14102564102564102,-0.9888538999818748,-0.9999999855000196,-0.9889154420011704,-24.97175826831681,-0.7664050241151908,-0.7805942728400931,-0.6748700887903442,-0.8437507107151353,0.0,0.0,-0.022229610840061587,-0.5712941370627564,14
bar_open,5,50,0.5,0.028083028083028084,-0.602586091062218,-0.9753733141683664,-0.602586091062218,-10.684110944223308,-0.26333724064305825,-0.24689309127754122,-0.21746091598783468,-0.3256577146637988,0.0,0.0,0.0,-0.23313236171964846,14
