timestamp,venue,bid,ask,mid,spread_bps,bid_depth_20_usd,ask_depth_20_usd,depth_imbalance,mark_price,funding_rate
2026-07-15 10:06:05.832920+00:00,aster,64792.0,64792.1,64792.05,0.01543399228740946,1853325.3316000002,1117065.6959,0.24786623339610134,64799.24936594,8.3e-05
2026-07-15 10:06:12.004614+00:00,aster,64804.9,64805.0,64804.95,0.015430920014373102,2214633.0415000003,1019795.9934,0.3694120462089351,64804.9,8.3e-05
2026-07-15 10:06:18.055175+00:00,aster,64797.7,64802.0,64799.85,0.6635817829829714,1800797.8307,1926053.8418,-0.033609067949832656,64805.41749637,8.3e-05
2026-07-15 10:06:24.110736+00:00,aster,64797.8,64797.9,64797.850000000006,0.015432610803991923,1636201.0622999999,1488181.8091,0.04737551679563338,64807.19409058,8.3e-05
2026-07-15 10:06:30.165986+00:00,aster,64797.8,64797.9,64797.850000000006,0.015432610803991923,1655070.5671,1260380.71,0.13537864967944113,64806.89198551,8.3e-05
2026-07-15 10:06:36.214971+00:00,aster,64797.8,64797.9,64797.850000000006,0.015432610803991923,1327765.4963,1830130.378,-0.15908215523773642,64806.52889855,8.3e-05
2026-07-15 10:06:42.478373+00:00,aster,64797.8,64797.9,64797.850000000006,0.015432610803991923,1293525.6741,1564082.4616,-0.09467945731254873,64804.46854348,8.3e-05
2026-07-15 10:06:48.533302+00:00,aster,64801.3,64801.4,64801.350000000006,0.015431777269847742,1533355.9082,1781865.0518,-0.07496005442726209,64804.06292029,8.3e-05
2026-07-15 10:06:54.584416+00:00,aster,64801.4,64801.5,64801.45,0.015431753455909523,1742032.9056000002,1313066.6966000001,0.14040989324573844,64804.16751812,8.3e-05
2026-07-15 10:07:00.722424+00:00,aster,64793.8,64793.9,64793.850000000006,0.015433563524708718,1636925.9763,1426216.2231,0.06878875986928493,64801.93826812,8.287e-05
2026-07-15 10:07:06.814210+00:00,aster,64793.9,64794.0,64793.95,0.015433539705257175,1946347.9138,1601830.3928999999,0.09709701461435863,64799.61228623,8.287e-05
2026-07-15 10:07:12.859324+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1755648.0154000001,1797303.0688,-0.011724071740036103,64799.30277174,8.287e-05
2026-07-15 10:07:18.905142+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1607164.3297,2231975.0611,-0.16274760246978218,64788.46986957,8.287e-05
2026-07-15 10:07:24.954175+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1637162.9522,2005373.3569,-0.10108626886713937,64786.15810145,8.287e-05
2026-07-15 10:07:31.006660+00:00,aster,64775.5,64780.4,64777.95,0.7564302359061155,1346224.8087000002,2129539.1677,-0.22536465776117304,64786.07665218,8.287e-05
2026-07-15 10:07:37.054694+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1951201.8842,1760845.9777,0.05128056360851096,64784.80537681,8.287e-05
2026-07-15 10:07:43.319829+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,2153806.4898,1761899.6260000002,0.1000858726906606,64784.83651811,8.287e-05
2026-07-15 10:07:49.580957+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1777084.6725,1528867.9079,0.07508176798167122,64784.86136232,8.287e-05
2026-07-15 10:07:55.626649+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,2201672.0493,1494718.7061,0.19125503497356788,64784.79182971,8.287e-05
2026-07-15 10:08:01.676032+00:00,aster,64780.3,64780.4,64780.350000000006,0.015436779825756544,1905532.214,1494262.337,0.12096903822586304,64784.7100145,8.238e-05
