strategy,horizon,threshold,selection_score,selection_trades,selection_total_return,selection_cagr,selection_max_drawdown,selection_sharpe,selection_average_month,selection_median_month,selection_best_month,selection_worst_month,selection_positive_month_ratio
fixed_equal,12,0.55,2.0241411850664672,2051,0.2753177651929224,0.6291694738224276,-0.22403936430864535,1.3492342115032003,0.04226325657146448,0.03278870381328092,0.13075400456188668,-0.014952763381200218,0.8333333333333334
fixed_equal,6,0.55,-0.5434077436391984,2459,-0.0495184833046175,-0.09690170671475029,-0.30669562873847533,-0.03002042908090258,-0.002594859872787292,0.028143476093736075,0.09441276319589664,-0.2139093597121351,0.5
fixed_equal,12,0.4,-2.1479396618045903,6874,-0.26649099385713637,-0.463114920609763,-0.3672449538952447,-1.0125733362156524,-0.04247422489163797,-0.036428027446829825,0.09975361041776165,-0.2594790743961618,0.5
fixed_equal,3,0.55,-2.9578674355349004,2796,-0.2529412870145106,-0.44302615027703895,-0.30674612477100494,-1.9252328603941358,-0.038923153864346506,-0.004508518686564711,0.05605235758099347,-0.2922821891024603,0.5
fixed_equal,6,0.4,-4.498449493531128,9115,-0.4792462637344903,-0.7300348319153289,-0.4859024469279146,-2.8203143093446377,-0.0999388983500036,-0.09398959255056927,0.025502537497581912,-0.2206498300518036,0.16666666666666666
fixed_equal,12,0.3,-5.276438925287188,10664,-0.6207722875850701,-0.8571461861040226,-0.6628494383088805,-3.1953003201604977,-0.13901908454277104,-0.13531984208204284,0.020881766477635733,-0.37925515704930024,0.16666666666666666
fixed_equal,3,0.4,-7.164109741458133,11145,-0.6943744064281214,-0.9073545822600552,-0.698667693004877,-4.964676636462198,-0.1741383991751634,-0.19510157468429046,-0.03922163649846966,-0.2978753085406254,0.0
fixed_equal,12,0.2,-9.613569652964252,13643,-0.8522243482273593,-0.9784488377857775,-0.8575007632751128,-7.11689548035545,-0.26902555122346633,-0.22723134176006116,-0.20535956285574852,-0.39172543028950146,0.0
fixed_equal,6,0.3,-9.718306914415809,15944,-0.82692793578692,-0.9704067391266982,-0.8275598808758391,-7.269624948674755,-0.24997118222859194,-0.262157841518636,-0.14491344553536567,-0.35368613502435764,0.0
fixed_equal,3,0.3,-14.932201087594802,21473,-0.9488672526503397,-0.9974385847568495,-0.9490662349318151,-12.29716372854135,-0.3854223927292472,-0.4080522980795601,-0.223505508366991,-0.4810764365045761,0.0
fixed_equal,6,0.2,-15.760855371176012,22666,-0.9616656828671621,-0.9985632105684572,-0.9617953089438649,-13.108856184590689,-0.4131742683222373,-0.4146825455760993,-0.31412395721532105,-0.5698916968586127,0.0
fixed_equal,3,0.2,-28.44179848570613,34094,-0.9973882536079863,-0.9999934533028991,-0.9973990972076213,-25.744929389102637,-0.6147124215197586,-0.595689467242661,-0.510974308636103,-0.7954105932202308,0.0
selection_ridge,12,2.0,7.544253148613164,4410,0.9571080412622182,2.8480757886692785,-0.10359187106217183,3.3964497108838527,0.12801318236028147,0.05421768063559784,0.4650186274056529,0.004139683503391556,1.0
selection_ridge,12,1.5,0.8919762558302535,7254,0.12578226615830657,0.2684231859761512,-0.2090669931110597,0.7402218685992983,0.022100643714498713,0.03627081538277643,0.10426043914825955,-0.06789248822422533,0.6666666666666666
selection_ridge,6,2.0,0.0422850920213822,5576,0.01579732088234853,0.03195590043034069,-0.23716304306248448,0.2789468930508525,0.0037449863985101564,0.0018323335549943476,0.07721021729632183,-0.08075478045879958,0.5
selection_ridge,3,2.0,-1.8450845879469389,6730,-0.22015021233402365,-0.39287782060509246,-0.26305190612216345,-0.940105569692704,-0.03951159192993183,-0.02914320702161155,0.01991004668252505,-0.11529710986873787,0.16666666666666666
selection_ridge,6,1.5,-5.151330024660456,10068,-0.5167161625562235,-0.7676067494179605,-0.5201000842203957,-3.37579979946904,-0.1093220475438354,-0.10946436738536619,0.017156410813003342,-0.26732176023177645,0.16666666666666666
selection_ridge,12,1.0,-5.5696429356616415,10879,-0.6163338676947825,-0.853770991264517,-0.6534091046351762,-3.504895523202654,-0.14612198217481862,-0.14588123277630666,-0.0749825145439269,-0.20977230208124165,0.0
selection_ridge,12,0.75,-6.840295311726364,12682,-0.7141118765453157,-0.9189717442853815,-0.753466927265558,-4.557677382579622,-0.18485047760610027,-0.18369212278392738,-0.07597318407189213,-0.2868044332129871,0.0
selection_ridge,3,1.5,-8.263319458112449,12894,-0.7371679595666017,-0.9315539062307959,-0.7382483860997817,-5.980090535446516,-0.19717779980284192,-0.1995528802237831,-0.08098410749560059,-0.29121691511110503,0.0
selection_ridge,6,1.0,-9.012704339087854,16825,-0.7930326979031695,-0.9576280152664813,-0.7935906085644767,-6.623953585910761,-0.2272036991233349,-0.22694504080032124,-0.1318842432181183,-0.31484870957382394,0.0
selection_ridge,6,0.75,-12.826050501436715,20789,-0.9044206001505848,-0.9910115135899971,-0.9049080390570502,-10.253643584183258,-0.32102848576291304,-0.34267090489218155,-0.20114945695637387,-0.3941010901830806,0.0
selection_ridge,3,1.0,-16.872248337935883,23673,-0.9640174480756348,-0.9987346470372418,-0.9641509051680646,-14.21716528117834,-0.42317860061589796,-0.43320360785136,-0.32338721474723275,-0.48087002410028135,0.0
selection_ridge,3,0.75,-23.36165471288061,31116,-0.9930143904928572,-0.9999528458652904,-0.9930407546818516,-20.670076538464453,-0.5579777678210583,-0.5965844200572417,-0.4253807240386316,-0.6131525353217582,0.0
