strategy,period,threshold,horizon_minutes,total_return,cagr,max_drawdown,sharpe,average_month,median_month,best_month,worst_month,positive_month_ratio
fixed_equal,selection,0.55,60,0.2753177651929224,0.6291694738224276,-0.22403936430864535,1.3492342115032003,0.04226325657146448,0.03278870381328092,0.13075400456188668,-0.014952763381200218,0.8333333333333334
fixed_equal,holdout,0.55,60,0.16592437647981506,0.8518574044751048,-0.07136157259595455,3.982604685776289,0.05419664328738575,0.0648997774252531,0.121013544821029,-0.02332339238412484,0.6666666666666666
fixed_equal,holdout_1.0x,0.55,60,0.16592437647981506,0.8518574044751048,-0.07136157259595455,3.982604685776289,0.05419664328738575,0.0648997774252531,0.121013544821029,-0.02332339238412484,0.6666666666666666
fixed_equal,holdout_1.5x,0.55,60,0.2560188084472179,1.4966609601493288,-0.10560499694809256,3.982604685776291,0.08281978206064584,0.09836948229757336,0.18545907539771078,-0.0353692115133466,0.6666666666666666
fixed_equal,holdout_2.0x,0.55,60,0.3509826269665146,2.3451354380228344,-0.1389037421160918,3.982604685776289,0.11248555308139581,0.13251832306616795,0.2525922009384003,-0.047653864760380804,0.6666666666666666
fixed_equal,holdout_3.0x,0.55,60,0.5557612601201642,4.894375348839468,-0.20271179348488277,3.982604685776291,0.17501419950245545,0.2028471090871644,0.39508270733178863,-0.0728872179115867,0.6666666666666666
selection_ridge,selection,2.0,60,0.9571080412622182,2.8480757886692785,-0.10359187106217183,3.3964497108838527,0.12801318236028147,0.05421768063559784,0.4650186274056529,0.004139683503391556,1.0
selection_ridge,holdout,2.0,60,0.06209684987417319,0.27356139919577527,-0.15092987686379555,1.1941926815269004,0.027076739565404535,0.03836792483663154,0.16450263925868058,-0.12164034539909852,0.6666666666666666
selection_ridge,holdout_1.0x,2.0,60,0.06209684987417319,0.27356139919577527,-0.15092987686379555,1.1941926815269004,0.027076739565404535,0.03836792483663154,0.16450263925868058,-0.12164034539909852,0.6666666666666666
selection_ridge,holdout_1.5x,2.0,60,0.08949223371336545,0.4106314974398826,-0.21874210618237477,1.1941926815269013,0.04429485624670678,0.05718793762676566,0.2536545046240146,-0.17795787351065995,0.6666666666666666
selection_ridge,holdout_2.0x,2.0,60,0.1141337289099269,0.5431254026020627,-0.28186007290936377,1.1941926815269004,0.06394562396723702,0.07573075801137086,0.3474953569388297,-0.2313892430484895,0.6666666666666666
selection_ridge,holdout_3.0x,2.0,60,0.15432100938686544,0.7789841590820143,-0.39527775056023107,1.1941926815269013,0.11044263023192435,0.11188136441778496,0.5494009863080755,-0.32995446003008744,0.6666666666666666
