universe,family,features,threshold,horizon_minutes,selection_trades,holdout_trades,selection_total_return,selection_cagr,selection_max_drawdown,selection_sharpe,selection_average_month,selection_median_month,selection_best_month,selection_worst_month,selection_positive_month_ratio,holdout_total_return,holdout_cagr,holdout_max_drawdown,holdout_sharpe,holdout_average_month,holdout_median_month,holdout_best_month,holdout_worst_month,holdout_positive_month_ratio,positive_week_ratio,best_week,worst_week,weeks
all,all_available,"sig_price_mr,sig_funding_contra,sig_flow_cont,sig_lead_follow",0.55,60,2051,984,0.2753177651929224,0.6291694738224276,-0.22403936430864535,1.3492342115032003,0.04226325657146448,0.03278870381328092,0.13075400456188668,-0.014952763381200218,0.8333333333333334,0.16592437647981506,0.8518574044751048,-0.07136157259595455,3.982604685776289,0.05419664328738575,0.0648997774252531,0.121013544821029,-0.02332339238412484,0.6666666666666666,0.6428571428571429,0.05194681448912375,-0.02060025293551404,14
all,price_only,sig_price_mr,0.55,60,9129,4908,-0.14220142565907035,-0.26496068080860036,-0.31426889858805285,-0.3449982071310816,-0.02104447050061588,-0.030460962073339315,0.0965254191791185,-0.17164091409102455,0.3333333333333333,-0.3585506007679662,-0.8317437487049559,-0.3948164353604935,-5.970624188457612,-0.13588572444477076,-0.16066417646563014,-0.0600624275792373,-0.18693056928944485,0.0,0.07142857142857142,0.021243533286025684,-0.07657176090813345,14
all,without_price,"sig_funding_contra,sig_flow_cont,sig_lead_follow",0.55,60,1555,709,-0.3255590521963456,-0.5463650834953275,-0.3958990334974358,-1.9117967286915614,-0.05972045410175716,-0.03936667909259284,0.0348596773694283,-0.2093546733801841,0.3333333333333333,-0.053207429529475214,-0.19704804674195076,-0.10922384203364988,-1.866972829935774,-0.017318850097163756,0.0018271790030877089,0.016394125505937218,-0.07017785480051619,0.6666666666666666,0.42857142857142855,0.010776025111429721,-0.03661381079867787,14
all,funding_only,sig_funding_contra,0.55,60,1436,742,-0.308044283954264,-0.5224134185377226,-0.3232212527879944,-6.482400474060082,-0.05880442378017934,-0.046868764232943894,-0.01660491253035723,-0.11022503128990391,0.0,-0.15950144584659798,-0.5021485857775686,-0.16600179015625205,-7.358739966463491,-0.05584219591810765,-0.047577426708451886,-0.025873646239301773,-0.09407551480656928,0.0,0.2857142857142857,0.009059338116921278,-0.04055924574902503,14
all,flow_only,sig_flow_cont,0.4,60,13001,6234,-0.9708779382498451,-0.9991723675507158,-0.9710445941631887,-13.485024720087903,-0.43891011889189335,-0.44221317461881615,-0.2991820453998837,-0.5670731644541318,0.0,-0.8107370810952356,-0.998746220988992,-0.8120293974288066,-23.255262706175305,-0.4236842827724583,-0.40772338595637225,-0.372898985820996,-0.4904304765400066,0.0,0.0,-0.05515391990242524,-0.16640024984200363,14
all,lead_only,sig_lead_follow,0.55,60,9382,5083,-0.5878154023708009,-0.8311406238579369,-0.596418386957905,-3.2401428831823975,-0.13298058250675196,-0.10964254373443494,-0.0468576641564884,-0.2852766907267903,0.0,-0.3799247190362208,-0.8531429336114658,-0.4072526462816609,-6.563899544306705,-0.14495353714991663,-0.15053003048723423,-0.06519202628525878,-0.21913855467725685,0.0,0.21428571428571427,0.009281266368960095,-0.09128150835659055,14
without_PENGU,all_available,"sig_price_mr,sig_funding_contra,sig_flow_cont,sig_lead_follow",0.55,60,1399,670,-0.2169503548164502,-0.3878680350932694,-0.22138322049253123,-3.3891332061968544,-0.03915581012167372,-0.03260599777824047,0.007638125553526498,-0.11609128825308557,0.16666666666666666,-0.12343040629657953,-0.4106803208165689,-0.14086403418536153,-4.684166829638137,-0.04280887485632808,-0.038650111263921816,-0.02421836734169769,-0.06555814596336473,0.0,0.14285714285714285,0.009151386502963543,-0.02930385184788764,14
PENGU_only,all_available,"sig_price_mr,sig_funding_contra,sig_flow_cont,sig_lead_follow",0.3,30,3888,1967,16.553882175957625,313.29720700183555,-0.8334857006472346,4.692040661511334,1.0514067712263258,1.1201729322631575,2.963324364689898,-0.6801501982206298,0.8333333333333334,9.281047153525089,11539.005472391002,-0.1545426805932797,12.453775934067059,1.2546891642363427,0.9299757019042627,2.134734099099039,0.699357691705726,1.0,1.0,0.5275244862118111,0.002561357140853593,14
