trade_id,entry_time,exit_time,year,symbol,year_type,ret_used,ret_applied,skipped,skip_reason,source_strategy_type,source_sub_variant,source_entry_reason,source_exit_reason,equity_after
retq22-0042,2025-01-17T12:00:00.000Z,2025-01-27T12:00:00.000Z,2025,SOL,2025,0.0262200941628193,0.0262200941628193,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,risk-off,53330.43607931773
retq22-0046,2025-04-15T12:00:00.000Z,2025-04-16T00:00:00.000Z,2025,SOL,2025,-0.051571969123656705,-0.051571969123656705,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,risk-off,50580.080476484014
retq22-0047,2025-04-21T00:00:00.000Z,2025-05-02T00:00:00.000Z,2025,SOL,2025,0.08794334832438688,0.08794334832438688,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch,55028.262112102966
retq22-0048,2025-05-02T00:00:00.000Z,2025-05-31T00:00:00.000Z,2025,ETH,2025,0.37002429138784615,0.37002429138784615,false,,trend,trend,trend-close>sma40|mom20-ok|retq22-off,sma-break,75390.05580643853
retq22-0049,2025-06-04T00:00:00.000Z,2025-06-06T00:00:00.000Z,2025,ETH,2025,-0.07494249137216331,-0.07494249137216331,false,,trend,trend,trend-close>sma40|mom20-ok|retq22-off,risk-off,69740.13719961759
retq22-0050,2025-07-07T00:00:00.000Z,2025-07-12T12:00:00.000Z,2025,SOL,2025,0.058076912946134575,0.058076912946134575,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,trend-switch,73790.42907661125
retq22-0051,2025-07-12T12:00:00.000Z,2025-08-02T00:00:00.000Z,2025,ETH,2025,0.17056992161004805,0.17056992161004805,false,,trend,trend,trend-close>sma40|mom20-ok|retq22-off,sma-break,86376.85677978065
retq22-0052,2025-08-09T00:00:00.000Z,2025-08-18T12:00:00.000Z,2025,ETH,2025,0.05985728680063125,0.05985728680063125,false,,trend,trend,trend-close>sma40|mom20-ok|retq22-off,risk-off,91547.14106898503
retq22-0053,2025-09-16T12:00:00.000Z,2025-09-22T00:00:00.000Z,2025,AVAX,2025,0.07912972085385872,0.07912972085385872,false,,trend,trend,trend-close>sma40|mom20-ok|avax-mom-ok|avax-vol-ok|retq22-off,trend-switch,98791.24078674265
retq22-0054,2025-09-22T00:00:00.000Z,2025-09-22T12:00:00.000Z,2025,SOL,2025,-0.06793254573170722,-0.06793254573170722,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,risk-off,92080.10030410516
retq22-0055,2025-10-03T00:00:00.000Z,2025-10-08T00:00:00.000Z,2025,SOL,2025,-0.06868944363977172,-0.06868944363977172,false,,trend,trend,trend-close>sma40|mom20-ok|sol-ok|retq22-off,sma-break,85755.1694439218
retq22-0056,2025-10-08T12:00:00.000Z,2025-10-11T00:00:00.000Z,2025,ETH,2025,-0.1521028368952377,-0.1521028368952377,false,,trend,trend,trend-close>sma40|mom20-ok|retq22-off,risk-off,72711.56489306949
